Titulo,Categoria,Url,Raciones,Ingredientes,Instrucciones
Bizcocho de calabaza y jengibre jugoso y muy especial,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-calabaza.html,6,10 ingredientes: 400 calabaza - 20 g jengibre - 4 huevos - 200 g Azúcar blanco - 180 g harina de trigo - 100 ml Nata líquida para montar 35% M. G. - 60 ml Aceite de Girasol - 1 sobre levadura - canela - sal,Instrucciones: 1) Sacamos la calabaza del microondas. Pinchamos el papel film y dejamos templar. 2) Mientras en un cuenco grande batimos los huevos con el azúcar la nata. 3) Pelamos el jengibre fresco y lo colocamos en el vaso de la batidora con la calabaza una pizca de canela y sal y el aceite de girasol. Trituramos muy bien y lo añadimos a la mezcla anterior. 4) Añadimos la harina y la levadura mezclamos. 5) Colocamos papel de horno sobre un molde de Cakes y vertemos la masa del bizcocho. 6) Horneamos durante 45 minutos a 170º con el horno previamente precalentado. 7) Comprobamos que el bizcocho está hecho. Sacamos y dejamos templar en el mismo molde. 8) Mientras preparamos la cobertura. Para ello ponemos a calentar el agua con el azúcar y el vino. Cuando empiece a cocer añadimos el queso y la gelatina. Mezclamos bien dejamos al fuego un minuto más y retiramos. 9) Dejamos templar unos minutos. 10) Desmoldamos el bizcocho de calabaza y jengibre y cubrimos con la cobertura. 11) Guardamos en la nevera hasta que demos buena cuenta de él. 
Bizcocho de nata esponjoso y fácil de cocinar,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-nata.html,,8 ingredientes: 4 huevos - 250 g harina de trigo - 230 g Azúcar blanco - 200 ml Nata líquida para montar 35% M. G. - 90 g Mantequilla - 1 sobre gasificante - 1/2 sobre levadura - 50 g pipas de girasol,Instrucciones: 1) Vertemos en un cuenco grande y añadimos la nata 180 gr de azúcar y los huevos. Batimos todo bien. 2) Incorporamos la harina el gasificante y la levadura que habremos tamizado todo junto anteriormente. 3) Mezclamos hasta conseguir una masa homogénea y sin grumos. 4) Engrasamos un molde y vertemos la masa del bizcocho. 5) Esparcimos por encima el resto del azúcar y las pipas caramelizadas o cualquier otro fruto seco (almendras nueces avellanas piñones etc.). 6) Introducimos en el horno previamente precalentado a 180º durante 45 o 50 minutos. 7) Sacamos y dejamos templar el Bizcocho. 8) Desmoldamos colocamos en un plato de presentación y una vez esté frío degustamos cuando queramos. 
Fresas con requesón y miel,Dulces y postres,https://www.eladerezo.com/recetas/fresas-con-requeson-y-miel.html,4,4 ingredientes: 400 g fresas - 300 g requeson - 4 Cucharadas Miel - hierbabuena,Instrucciones: 1) Cortamos en láminas. 2) Colocamos unas cuantas láminas de fresas en el centro de cada uno de los platos. 3) En el centro de las fresas una cucharada de requesón repartimos. Otra capa de láminas de fresas otra cucharada de requesón y otra última de fresas. 4) Esparcimos por encima del conjunto la cucharada de miel y hojas de hierbabuena picada. 5) Servimos y degustamos. 6) Si os gustan más dulces podéis añadir algo más de miel o azúcar moreno. 
Bizcocho de Yogur de Coco,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-coco-2.html,,4 ingredientes: 400 g fresas - 300 g requeson - 4 Cucharadas Miel - hierbabuena,Instrucciones: 1) Cortamos en láminas. 2) Colocamos unas cuantas láminas de fresas en el centro de cada uno de los platos. 3) En el centro de las fresas una cucharada de requesón repartimos. Otra capa de láminas de fresas otra cucharada de requesón y otra última de fresas. 4) Esparcimos por encima del conjunto la cucharada de miel y hojas de hierbabuena picada. 5) Servimos y degustamos. 6) Si os gustan más dulces podéis añadir algo más de miel o azúcar moreno. 
Tarta de Requesón con mermelada de frambuesa,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-requeson.html,8,7 ingredientes: 600 g requeson - 180 g Azúcar blanco - 60 g Mantequilla - 5 huevos - 1 limón - 300 ml Nata líquida para montar 35% M. G. - 2 cucharadas Vainilla líquida,Instrucciones: 1) Colocamos la mantequilla en un vaso y disolvemos en el microondas. Vertemos sobre la mezcla anterior. 2) Añadimos el requesón la nata y la ralladura de limón. Mezclamos bien. 3) Engrasamos un molde y vertemos en su interior. 4) Introducimos en el horno sobre la primera ranura empezando a contar desde la base que tendremos precalentado a 160 con anterioridad. 5) Horneamos durante 30 minutos. Subimos la temperatura a 180º y dejamos hacer durante otra media hora más. 6) Comprobamos que tenemos la Tarta de requesón hecha sacamos dejamos enfriar y desmoldamos. 7) Como ya te hemos comentado se puede servir tal cual o bien podemos acompañar la Tarta de requesón con un poco de mermelada como en esta ocasión de frambuesa. 
Torrijas de Chocolate una original receta,Dulces y postres,https://www.eladerezo.com/recetas/torrijas-de-chocolate-una-original-receta.html,,7 ingredientes: 600 g requeson - 180 g Azúcar blanco - 60 g Mantequilla - 5 huevos - 1 limón - 300 ml Nata líquida para montar 35% M. G. - 2 cucharadas Vainilla líquida,Instrucciones: 1) Colocamos la mantequilla en un vaso y disolvemos en el microondas. Vertemos sobre la mezcla anterior. 2) Añadimos el requesón la nata y la ralladura de limón. Mezclamos bien. 3) Engrasamos un molde y vertemos en su interior. 4) Introducimos en el horno sobre la primera ranura empezando a contar desde la base que tendremos precalentado a 160 con anterioridad. 5) Horneamos durante 30 minutos. Subimos la temperatura a 180º y dejamos hacer durante otra media hora más. 6) Comprobamos que tenemos la Tarta de requesón hecha sacamos dejamos enfriar y desmoldamos. 7) Como ya te hemos comentado se puede servir tal cual o bien podemos acompañar la Tarta de requesón con un poco de mermelada como en esta ocasión de frambuesa. 
Rosquillas Fritas receta tradicional,Dulces y postres,https://www.eladerezo.com/recetas/rosquillas-fritas-para-semana-santa.html,,7 ingredientes: 600 g requeson - 180 g Azúcar blanco - 60 g Mantequilla - 5 huevos - 1 limón - 300 ml Nata líquida para montar 35% M. G. - 2 cucharadas Vainilla líquida,Instrucciones: 1) Colocamos la mantequilla en un vaso y disolvemos en el microondas. Vertemos sobre la mezcla anterior. 2) Añadimos el requesón la nata y la ralladura de limón. Mezclamos bien. 3) Engrasamos un molde y vertemos en su interior. 4) Introducimos en el horno sobre la primera ranura empezando a contar desde la base que tendremos precalentado a 160 con anterioridad. 5) Horneamos durante 30 minutos. Subimos la temperatura a 180º y dejamos hacer durante otra media hora más. 6) Comprobamos que tenemos la Tarta de requesón hecha sacamos dejamos enfriar y desmoldamos. 7) Como ya te hemos comentado se puede servir tal cual o bien podemos acompañar la Tarta de requesón con un poco de mermelada como en esta ocasión de frambuesa. 
Arroz con leche a la vainilla,Dulces y postres,https://www.eladerezo.com/recetas/arroz-con-leche-a-la-vainilla.html,4,"6 ingredientes: 1,5 l Leche entera - 200 g Arroz - 190 g Azúcar blanco - 90 g Mantequilla - 1 Vaina de vainilla - 1 limón","Instrucciones: 1) Ponemos a calentar la leche a fuego medio-alto. 2) En cuanto empiece a hervir incorporamos el arroz. 3) Removemos suavemente y cuando empiece a hervir otra vez bajamos el fuego y dejamos que se haga a fuego lento durante cuarenta minutos removiendo de vez en cuando para que no se nos ""agarre"" el arroz. 4) Echamos el azúcar y la mantequilla removemos hasta que se integren perfectamente en la leche. Probamos el punto del arroz tiene que estar ""al dente"" ya que una vez retirado se hará un poco más. 5) Retiramos el arroz con leche del fuego sacamos la piel de limón y servimos en cuencos o vasijas de barro platos vasos o copas de cristal. 6)  Dejamos enfriar y listo. 7) A la hora de servir el arroz con leche podemos esparcir un poco de azúcar por encima y caramelizar con un soplete de cocina teniendo la precaución de que hemos puesto el arroz con leche en vasija de barro ya que el cristal no se lleva muy bien con el soplete... "
Torrijas de Pan,Dulces y postres,https://www.eladerezo.com/recetas/torrijas-de-pan.html,4,5 ingredientes: 1 barra pan - 750 ml Leche entera - 150 g Azúcar blanco - 1 Piel  limones - 4 huevos,"Instrucciones: 1) Apagamos el fuego tapamos la cazuela y dejamos infusionar durante 20 minutos. Retiramos la piel de limón. 2) Mientras preparamos el almíbar. Echamos todos los ingredientes en una cazuela y ponemos a hervir a fuego medio. 3) Cortamos la barra de pan en rebanadas de unos dos centímetros y medio y colocamos en una fuente. 4) Vertemos la leche templada por encima de las rebanadas dejamos un par de minutos. Damos la vuelta a las rebanadas de pan con mucho cuidado y dejamos un par de minutos más. 5) Sacamos las rebanadas de pan sobre una bandeja para que escurran el exceso de leche. 6) Batimos los huevos en un cuenco grande. 7) Ponemos a calentar abundante aceite de girasol en una sartén. En cuanto empiece a humear rebozamos las rebanadas de pan en el huevo batido y freímos en el aceite. 8) Cuando estén doradas por ambos lados sacamos sobre una fuente. 9) Una vez tengamos todas las torrijas de pan fritas y colocadas en una fuente vertemos el almíbar por encima. Dejamos reposar unas cuantas horas dando la vuelta a las torrijas de vez en cuando para que se impregnen bien con el almíbar. 10) Las Torrijas de pan caseras con almíbar es una receta que está mejor de un día para otro aunque si las vas a degustar el mismo día tampoco pasa nada estarán algo más ""al dente"". 11) Con la leche y el huevo batido sobrante podemos preparar una especie de crema inglesa o natillas ligeras que nos viene ideal para acompañar las Torrijas de Pan. "
Tarta de hojaldre con frutas,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-hojaldre-con-frutas.html,,1 ingredientes: 1 lámina hojaldre,Instrucciones: 1) Pinchamos la masa de hojaldre con un tenedor y colocamos en el interior del molde redondo con el papel entre el molde y el hojaldre. 2) Cubrimos la base del hojaldre con legumbres o bolitas cerámicas con la intención de que no suba el hojaldre durante el horneado. 3) Introducimos el molde en el centro del horno que tendremos precalentado a 180º durante 15 minutos aproximadamente. 4) Mientras se hornea preparamos la crema pastelera. Para ello reservamos un vaso de leche entera y el resto lo vertemos en un cazo con el azúcar. Removemos y ponemos a calentar a fuego medio-alto. Echamos las yemas junto a la maicena y el sobre de cuajada en vaso y mezclamos bien hasta que no quede ningún grumo. 5) En cuanto empiece la leche a humear retiramos vertemos el contenido del vaso en la leche y mezclamos con la ayuda de unas varillas. 6) Ponemos de nuevo al fuego y sin dejar de remover con las varillas durante cinco minutos y teniendo la precaución de que nunca llegue al punto de ebullición. 7) Retiramos del fuego y dejamos templar. 8) Sacamos el hojaldre del horno dejamos templar y vertemos la crema en su interior. 9) Dejamos enfriar hasta que se cuaje. 10) Colocamos la fruta limpia y seca a nuestra elección y preparamos la gelatina siguiendo las instrucciones que nos marque el envase.  11) Cubrimos o napamos la fruta con la ayuda de una cuchara con la gelatina. 12) Guardamos la Tarta de hojaldre con frutas en la nevera hasta su posterior degustación como mínimo una hora. 
Tiramisú de mango,Dulces y postres,https://www.eladerezo.com/recetas/tiramisu-de-mango.html,,1 ingredientes: 1 lámina hojaldre,Instrucciones: 1) Pinchamos la masa de hojaldre con un tenedor y colocamos en el interior del molde redondo con el papel entre el molde y el hojaldre. 2) Cubrimos la base del hojaldre con legumbres o bolitas cerámicas con la intención de que no suba el hojaldre durante el horneado. 3) Introducimos el molde en el centro del horno que tendremos precalentado a 180º durante 15 minutos aproximadamente. 4) Mientras se hornea preparamos la crema pastelera. Para ello reservamos un vaso de leche entera y el resto lo vertemos en un cazo con el azúcar. Removemos y ponemos a calentar a fuego medio-alto. Echamos las yemas junto a la maicena y el sobre de cuajada en vaso y mezclamos bien hasta que no quede ningún grumo. 5) En cuanto empiece la leche a humear retiramos vertemos el contenido del vaso en la leche y mezclamos con la ayuda de unas varillas. 6) Ponemos de nuevo al fuego y sin dejar de remover con las varillas durante cinco minutos y teniendo la precaución de que nunca llegue al punto de ebullición. 7) Retiramos del fuego y dejamos templar. 8) Sacamos el hojaldre del horno dejamos templar y vertemos la crema en su interior. 9) Dejamos enfriar hasta que se cuaje. 10) Colocamos la fruta limpia y seca a nuestra elección y preparamos la gelatina siguiendo las instrucciones que nos marque el envase.  11) Cubrimos o napamos la fruta con la ayuda de una cuchara con la gelatina. 12) Guardamos la Tarta de hojaldre con frutas en la nevera hasta su posterior degustación como mínimo una hora. 
Hojaldre relleno de Cabello de Ángel o “Bayonesa”,Dulces y postres,https://www.eladerezo.com/recetas/hojaldre-relleno-de-cabello-de-angel-o-bayonesa.html,,1 ingredientes: 1 lámina hojaldre,Instrucciones: 1) Pinchamos la masa de hojaldre con un tenedor y colocamos en el interior del molde redondo con el papel entre el molde y el hojaldre. 2) Cubrimos la base del hojaldre con legumbres o bolitas cerámicas con la intención de que no suba el hojaldre durante el horneado. 3) Introducimos el molde en el centro del horno que tendremos precalentado a 180º durante 15 minutos aproximadamente. 4) Mientras se hornea preparamos la crema pastelera. Para ello reservamos un vaso de leche entera y el resto lo vertemos en un cazo con el azúcar. Removemos y ponemos a calentar a fuego medio-alto. Echamos las yemas junto a la maicena y el sobre de cuajada en vaso y mezclamos bien hasta que no quede ningún grumo. 5) En cuanto empiece la leche a humear retiramos vertemos el contenido del vaso en la leche y mezclamos con la ayuda de unas varillas. 6) Ponemos de nuevo al fuego y sin dejar de remover con las varillas durante cinco minutos y teniendo la precaución de que nunca llegue al punto de ebullición. 7) Retiramos del fuego y dejamos templar. 8) Sacamos el hojaldre del horno dejamos templar y vertemos la crema en su interior. 9) Dejamos enfriar hasta que se cuaje. 10) Colocamos la fruta limpia y seca a nuestra elección y preparamos la gelatina siguiendo las instrucciones que nos marque el envase.  11) Cubrimos o napamos la fruta con la ayuda de una cuchara con la gelatina. 12) Guardamos la Tarta de hojaldre con frutas en la nevera hasta su posterior degustación como mínimo una hora. 
Tarta caldosa de manzana,Dulces y postres,https://www.eladerezo.com/recetas/tarta-caldosa-de-manzana.html,8,9 ingredientes: 3 huevos - 250 g harina de repostería - 250 g Leche entera - 250 g Azúcar blanco - 85 g Aceite de oliva virgen extra - 85 g Mantequilla - 1 sobre de cada color gaseosa - 1 Cucharada Vainilla líquida - 2 manzanas,Instrucciones: 1) Colocamos la mantequilla en un vaso y derretimos durante unos segundos en el microondas. 2) Echamos la mantequilla líquida en un cuenco grande junto con el aceite la harina la leche la esencia de vainilla el azúcar los huevos y el contenido de los dos sobres. 3) Batimos con unas varillas hasta conseguir una masa homogénea y sin grumos. 4) Engrasamos un molde tipo corona o uno redondo desmontable. 5) Vertemos la masa sobre el molde y colocamos las láminas de manzana en la superficie. 6) Horneamos hasta que veamos que la superficie esté dorada 30-45 minutos. 7) Apagamos el horno y dejamos la tarta caldosa de manzana en su interior con la puerta del horno abierta otros cinco minutos más. 8) Sacamos dejamos templar y desmoldamos. 
Pastel Cordobés,Dulces y postres,https://www.eladerezo.com/recetas/pastel-cordobes.html,8,4 ingredientes: 2 láminas hojaldre - 350 g cabello de angel - Azúcar blanco - canela,Instrucciones: 1) Ponemos un silpat o papel de horno sobre la bandeja de horno y ponemos una de las planchas de hojaldre sobre él. 2) Repartimos el Cabello de Ángel sobre su superficie dejando sin cubrir un par de centímetros del borde. 3) Cubrimos con la otra plancha de hojaldre y unimos envolviendo una plancha sobre la otra los bordes. 4) Pinchamos con un tenedor la superficie y esparcimos azúcar por encima. 5) Introducimos la bandeja al horno y dejamos hacer durante 40 minutos a 170º. 6) Sacamos dejamos templar y esparcimos por encima azúcar y canela molida. 7) En cuanto se enfríe el Pastel Cordobés estará listo para su degustación. 
Cabello de Ángel o Dulce de Calabaza,Dulces y postres,https://www.eladerezo.com/recetas/cabello-de-angel-como-se-hace.html,4,3 ingredientes: 1 calabaza - Azúcar blanco - 1 limón,Instrucciones: 1) Cuando la tengamos abierta introducimos los trozos en el horno durante diez minutos a 150º para facilitarnos la tarea a la hora de desprender la carne de la cidra de su corteza. 2) Una vez tengamos la carne limpia sin la cascara (aunque con las pipas) colocamos en una cazuela con un poco de agua. Tapamos y cocemos a fuego lento hasta que tengamos la pulpa de la cidra blanda. 3) Dejamos templar escurrimos quitamos las pipas y apretando la pulpa con las manos limpias desmigamos cada trozo sacando las hebras de la Cidra. 4) Cuando tengamos toda la pulpa lista y escurrida pesamos. 5) Colocamos en una cazuela junto con el azúcar (la mitad del peso de la pulpa de la cidra) la piel del limón y su zumo. 6) Ponemos la cazuela a fuego bajo-medio y removemos de vez en cuando hasta que se caramelice la pulpa de la cidra más o menos media hora aproximadamente. 7) Retiramos del fuego y ya tendremos el Cabello de Ángel para utilizarlo en cualquier elaboración. 
Fresas con Mascarpone,Dulces y postres,https://www.eladerezo.com/recetas/fresas-con-mascarpone.html,4,3 ingredientes: 12 fresas - 100 g Queso Mascarpone - 1 cucharada Azúcar glass,Instrucciones: 1) Cortamos a la mitad 2) Mezclamos el azúcar glas con el queso mascarpone 3) Con la ayuda de una cuchara pequeña colocamos un poquito de queso en una fuente o plato de presentación donde asentaremos posteriormente las fresas o fresones. 4) Ponemos un poco de queso en la parte de la fresa que tiene el pedúnculo y esta (sobre el pedúnculo) en cada uno de los montoncitos de queso mascarpone que habíamos puesto en la bandeja. 5) Presionamos un poco para que se fije y cubrimos con la otra mitad de la fresa. 6) Cuanto tengamos todas rellenas y colocadas en la bandeja esparcimos azúcar glas con la ayuda de un colador por encima de todas las fresas. 7) Servimos y degustamos. 
Tarta Red Velvet terciopelo rojo en tu mesa,Dulces y postres,https://www.eladerezo.com/recetas/tarta-red-velvet.html,8,12 ingredientes: 250 ml Aceite de Girasol - 240 ml buttermilk - 2 huevos - 1 cucharadita Vinagre - 2 cucharaditas extracto de vainilla - 1 cucharada Colorante alimentario - 250 g Harina - 300 Azúcar blanco - 1 cucharadita cacao - 1 cucharadita sal - 1 sobre levadura - 1/2 cucharadita bicarbonato,Instrucciones: 1) En otro cuenco vertemos el aceite de girasol el Buttermilk los huevos el vinagre el  extracto de vainilla y el colorante alimentario. Mezclamos bien con la ayuda de unas varillas y vertemos sobre la mezcla anterior. 2) Removemos suavemente hasta que se integren todos los ingredientes y nos quede una masa homogénea. 3) Vertemos la masa sobre un molde que habremos engrasado previamente y horneamos durante 45 minutos a 180º. Con el horno previamente precalentado. 4) Comprobamos que está hecho el bizcocho y sacamos del horno. 5) En lo que se templa preparamos el almíbar. 6) Para ello pondremos un cazo a cocer a fuego lento con el agua el azúcar la rama de canela y la piel de naranja hasta conseguir un almíbar ligero. Apartamos del fuego y dejamos enfriar. 7) Montamos la nata y mezclamos con el azúcar glas y el estabilizante. Reservamos en la nevera. 8) Mezclamos el yogur griego con la pulpa del Maracuyá o Fruta de la pasión que previamente habremos despepitado pasando la pulpa por un colador removiendo con la base de una cuchara. Reservamos en la nevera. 9) Desmoldamos el bizcocho Red Velvet y cortamos en tres discos. 10) Colocamos el primero la base sobre una fuente o plato de presentación. Repartimos unas cucharadas de almíbar por encima y cubrimos con la mitad del yogur. 11) Tapamos con otro disco de bizcocho Red Velvet y repetimos el paso del almíbar y el yogur. 12) Terminamos con la última capa de bizcocho Red Velvet repartimos más almíbar por encima y terminamos cubriendo el pastel con la nata. 13) Decoramos con los cubitos de almendra bañados en chocolate y bolitas de galleta y chocolate. Si quieres también puedes adornar la tarta con la pulpa de Maracuyá. 14) Guardamos la tarta de cumpleaños en la nevera como mínimo un par de horas antes de su degustación. Aunque también queda espectacular de un día para otro. 
Natillas de Turrón una receta de Navidad,Dulces y postres,https://www.eladerezo.com/recetas/natillas-de-turron-receta-de-navidad.html,,12 ingredientes: 250 ml Aceite de Girasol - 240 ml buttermilk - 2 huevos - 1 cucharadita Vinagre - 2 cucharaditas extracto de vainilla - 1 cucharada Colorante alimentario - 250 g Harina - 300 Azúcar blanco - 1 cucharadita cacao - 1 cucharadita sal - 1 sobre levadura - 1/2 cucharadita bicarbonato,Instrucciones: 1) En otro cuenco vertemos el aceite de girasol el Buttermilk los huevos el vinagre el  extracto de vainilla y el colorante alimentario. Mezclamos bien con la ayuda de unas varillas y vertemos sobre la mezcla anterior. 2) Removemos suavemente hasta que se integren todos los ingredientes y nos quede una masa homogénea. 3) Vertemos la masa sobre un molde que habremos engrasado previamente y horneamos durante 45 minutos a 180º. Con el horno previamente precalentado. 4) Comprobamos que está hecho el bizcocho y sacamos del horno. 5) En lo que se templa preparamos el almíbar. 6) Para ello pondremos un cazo a cocer a fuego lento con el agua el azúcar la rama de canela y la piel de naranja hasta conseguir un almíbar ligero. Apartamos del fuego y dejamos enfriar. 7) Montamos la nata y mezclamos con el azúcar glas y el estabilizante. Reservamos en la nevera. 8) Mezclamos el yogur griego con la pulpa del Maracuyá o Fruta de la pasión que previamente habremos despepitado pasando la pulpa por un colador removiendo con la base de una cuchara. Reservamos en la nevera. 9) Desmoldamos el bizcocho Red Velvet y cortamos en tres discos. 10) Colocamos el primero la base sobre una fuente o plato de presentación. Repartimos unas cucharadas de almíbar por encima y cubrimos con la mitad del yogur. 11) Tapamos con otro disco de bizcocho Red Velvet y repetimos el paso del almíbar y el yogur. 12) Terminamos con la última capa de bizcocho Red Velvet repartimos más almíbar por encima y terminamos cubriendo el pastel con la nata. 13) Decoramos con los cubitos de almendra bañados en chocolate y bolitas de galleta y chocolate. Si quieres también puedes adornar la tarta con la pulpa de Maracuyá. 14) Guardamos la tarta de cumpleaños en la nevera como mínimo un par de horas antes de su degustación. Aunque también queda espectacular de un día para otro. 
Bizcocho de zanahoria y turrón,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-zanahoria-y-turron.html,8,12 ingredientes: 350 g zanahorias - 1 tableta Turrón - 260 g harina de trigo - 4 huevos - 150 g Azúcar blanco - 100 g Azúcar moreno - 240 ml Aceite de Girasol - 4 rodajas piña - 2 cucharaditas canela - 1/2 cucharadita nuez moscada - 1 sobre levadura - sal,Instrucciones: 1) En otro bol mezclamos los huevos con el azúcar. Añadimos el aceite y el turrón desmigado trituramos con la batidora hasta conseguir una mezcla homogénea. 2) Vertemos sobre la zanahoria y la piña y mezclamos bien. 3) En otro cuenco echamos la harina la levadura la sal y la canela. Removemos y lo volcamos sobre la masa anterior. 4) Removemos con la ayuda de una espátula hasta conseguir integrarlos todos juntos. 5) Engrasamos con mantequilla un molde desmontable volcamos la masa en su interior y horneamos a 180º con el horno previamente precalentado durante 50-60 minutos. 6) Comprobamos que el bizcocho de zanahoria y turrón está hecho y sacamos del horno. Dejamos templar antes de desmoldar y dejarlo enfriar del todo. 
Cake de Chocolate y Arándanos espectacular receta de bizcocho,Dulces y postres,https://www.eladerezo.com/recetas/cake-de-chocolate.html,8,7 ingredientes: 200 g harina de trigo - 175 g Azúcar blanco - 100 g Mantequilla - 125 g Chocolate de cobertura - 4 huevos - 1 sobre levadura - 100 g Arandanos,Instrucciones: 1) Mientras untamos con mantequilla y enharinamos un molde alargado tipo cake o bien cubrimos con papel sulfurizado. 2) Rallamos o cortamos en trozos el chocolate y lo ponemos en un cuenco apto para microondas. Añadimos la mantequilla en dados e introducimos en el microondas de 30 a 30 segundos durante 2 minutos. Removiendo en cada parada hasta que el chocolate se deshaga en la mantequilla. 3) En otro cuenco batimos los huevos con el azúcar hasta conseguir una masa espumosa. 4) Añadimos la harina y la levadura que habremos tamizado juntas con anterioridad. 5) Vertemos la mezcla de chocolate y mantequilla. Removemos con cuidado. 6) Escurrimos los arándanos e incorporamos a la mezcla anterior. 7) Mezclamos y volcamos sobre el molde. 8) Introducimos el molde en el horno caliente a 160º durante 45 minutos. 9) Sacamos el cake de chocolate del horno dejamos templar y desmoldamos. 
Tarta de queso con brevas,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-queso-con-brevas.html,8,11 ingredientes: 400 g Queso Philadelphia - 300 ml Nata líquida para montar 35% M. G. - 120 g Azúcar blanco - 2 sobres cuajada - 9 brevas - 60 g Queso Philadelphia - Azúcar moreno - 1 limón - 1/2 sobre gelatina - 20 galletas - 20 g Mantequilla,Instrucciones: 1) Mezclamos bien y cubrimos bien la base del molde (preferiblemente desmontable) apretamos con la punta de los dedos hasta quedar la superficie uniforme. 2) Guardamos en la nevera una hora como mínimo. 3) En una cazuela echamos los 400 gr de queso crema con la nata el azúcar y los sobres de cuajada. Trituramos con la batidora. 4) Ponemos al fuego (medio-alto) removiendo de vez en cuando. Cuando empiece a humear removemos constantemente un par de minutos con la precaución de que no hierva. Retiramos y dejamos templar. 5) Si tienes Thermomix vierte estos ingredientes en el vaso mezcla 30 segundos a velocidad 4. Programa 8 minutos a 90º. Y otros dos minutos más sin temperatura. 6) Sacamos el molde que teníamos en la nevera. Cogemos en una mano una cuchara grande y en la otra la cazuela con la mezcla. Situamos la cuchara en el centro del molde sin que toque la base. Vertemos poco a poco la mezcla sobre la cuchara. 7) Cuando esté templada introducimos el molde en la nevera hasta que cuaje por completo. 8) Cuando esté cuajada la tarta de queso nos ponemos con la gelatina y las brevas. 9) Lavamos y secamos las brevas. 10) Cortamos 6 las brevas a la mitad y la parte inferior de cada una de estas hasta conseguir unas mitades de brevas de un centímetro y medio. 11) Colocamos papel sulfurizado sobre la bandeja de horno y sobre estas las mitades de brevas. 12) Ponemos un poco de queso crema en el centro de cada mitad y esparcimos un poco de azúcar moreno. 13) Gratinamos durante 7 minutos a 200º. Sacamos del horno y dejamos templar. 14) En lo que hacemos las brevas ponemos a hervir en un cazo 250 ml de agua con tres brevas cortadas en trozos la piel de limón y tres cucharadas de azúcar. Removemos y dejamos cocer a fuego lento durante 10 minutos aproximadamente. Al final nos quedará unos 125 ml. de líquido 15) Disolvemos el medio sobre de gelatina en 125 ml de agua fría y lo vertemos en la mezcla anterior removemos colamos y reservamos en lo que colocamos las mitades de las brevas encima de la tarta de queso. 16) Esparcimos unas hojas de tomillo sobre el queso de las mitades de brevas y vertemos poco a poco con un hilo fino la gelatina sobre las brevas hasta que se nos acabe. 17) Guardamos de nuevo la tarta en la nevera hasta que se gelatinice la última capa de la tarta. 18) Sacamos desmoldamos con cuidado la tarta de queso. 19) Cortamos en raciones servimos la Tarta de queso con brevas y degustamos. 
Crema de queso con jalea de uva,Dulces y postres,https://www.eladerezo.com/recetas/crema-de-queso-con-jalea-de-uva.html,6,8 ingredientes: 200 g Queso Philadelphia - 300 g Nata líquida para montar 35% M. G. - 1 sobre cuajada - 90 g Azúcar blanco - 15 galletas - 20 g Mantequilla - Jalea de uva - 15 uvas,"Instrucciones: 1) Mezclamos bien y repartimos por los seis vasos. Apretamos con los dedos y guardamos en el congelador mientras preparamos la crema de queso. 2) Vertemos en un cazo la nata el queso crema el azúcar y el contenido del sobre de cuajada. Mezclamos con la ayuda de la batidora y ponemos a fuego medio-alto. 3) Removemos de vez en cuando y constantemente una vez empiece a ""humear"". Bajamos el fuego al mínimo y contamos dos minutos. 4) Retiramos sacamos los vasitos del congelador y repartimos la mezcla en ellos. 5) Dejamos templar y guardamos en la nevera. 6) Lavamos y cortamos a la mitad las uvas salteamos en una sartén y reservamos. 7) Cuando esté cuajada la crema de queso sacamos de la nevera colocamos cinco mitades de uva en su superficie y cubrimos con la jalea de uvas. 8) Volvemos a guardar la Crema de queso con jalea de uva en la nevera hasta que vayamos a degustarla. "
